ref	value	footprint	Field1	Field2	Field3	Field4	Field5	Field6	Field7	Field8
BF1	BAFFLE	Baffle
BP1	BackPlate	BackPlate
BT1	BATT_RTC	CR2032
C1	100u	CP_5x11mm
C2	100u	CP_5x11mm
C3	100n	C2
C4	100n	C2
C5	100n	C2
C6	100n	C2
C7	100n	C2
C8	100u	CP_5x11mm
C9	100n	C2
C10	100n	C2
C11	22p	cnp_3mm_disc
C12	22p	cnp_3mm_disc
CD1	CDOT1	pin_strip_4
CD2	CDOT2	pin_strip_4
CD3	CDOT3	pin_strip_4
D1	LED	led_5mm_clear
D2	LED	led_5mm_clear
D3	LED	led_5mm_clear
D4	LED	led_5mm_clear
D5	LED	led_5mm_clear
D6	LED	led_5mm_clear
D7	LED	led_5mm_clear
D8	LED	led_5mm_clear
D9	LED	led_5mm_clear
D10	LED	led_5mm_clear
D11	LED	led_5mm_clear
D12	LED	led_5mm_clear
D13	LED	led_5mm_clear
D14	LED	led_5mm_clear
D15	LED	led_5mm_clear
D16	LED	led_5mm_clear
D17	LED	led_5mm_clear
D18	LED	led_5mm_clear
D19	LED	led_5mm_clear
D20	LED	led_5mm_clear
D21	LED	led_5mm_clear
D22	LED	led_5mm_clear
D23	LED	led_5mm_clear
D24	LED	led_5mm_clear
D25	LED	led_5mm_clear
D26	LED	led_5mm_clear
D27	LED	led_5mm_clear
D28	LED	led_5mm_clear
D29	LED	led_5mm_clear
D30	LED	led_5mm_clear
D31	LED	led_5mm_clear
D32	LED	led_5mm_clear
D33	LED	led_5mm_clear
D34	LED	led_5mm_clear
D35	LED	led_5mm_clear
D36	LED	led_5mm_clear
D37	LED	led_5mm_clear
D38	LED	led_5mm_clear
D39	LED	led_5mm_clear
D40	LED	led_5mm_clear
D41	LED	led_5mm_clear
D42	LED	led_5mm_clear
D43	LED	led_5mm_clear
D44	LED	led_5mm_clear
D45	LED	led_5mm_clear
D46	LED	led_5mm_clear
D47	LED	led_5mm_clear
D48	LED	led_5mm_clear
D49	LED	led_5mm_clear
D50	LED	led_5mm_clear
D51	LED	led_5mm_clear
D52	LED	led_5mm_clear
D53	LED	led_5mm_clear
D54	LED	led_5mm_clear
D55	LED	led_5mm_clear
